league_code,your_name,lat,lon,matched_display
SC0,Livingston,55.8733465,-3.510181,"Murieston United Community Football Club, Bankton Walk, Murieston, Livingston, West Lothian, Alba / Scotland, EH54 9LE, United Kingdom"
SC0,Inverness C,46.2596772,-71.521879,"Inverness, L'Érable, Centre-du-Québec, Québec, Canada"
SC0,Gretna,29.9146493,-90.0539604,"Gretna, Jefferson Parish, Louisiana, 70053, United States"
SC0,Hamilton,-37.7843601,175.2679707,"Fraser Tech Rugby Football Club, Mill Street, Frankton CBD, Maeroa, Hamilton City, Waikato, 3204, New Zealand / Aotearoa"
SC0,Ross County,52.3869516,-6.9426672,"Allianz Park, New Ross Rural ED, New Ross Municipal District, The Municipal District of New Ross, County Wexford, Leinster, Éire / Ireland"
SP1,Barcelona,41.3825802,2.177073,"Barcelona, Barcelonès, Barcelona, Catalunya, España"
SP1,Sociedad,13.698147,-88.0073508,"Sociedad, Morazán Sur, Morazán, El Salvador"
SP1,Zaragoza,41.6915847,-0.9101268,"Zaragoza, Aragón, España"
SP1,Las Palmas,28.1288694,-15.4349015,"Las Palmas de Gran Canaria, Las Palmas, Canarias, España"
SP1,Mallorca,39.613432,2.8829185,"Mallorca, Illes Balears, España"
SP1,Osasuna,-51.9559266,-69.8912325,"Osasuna, Güer Aike, Santa Cruz, Argentina"
SP1,Villarreal,39.9372616,-0.1004465,"Vila-real, la Plana Baixa, Castelló / Castellón, Comunitat Valenciana, 12540, España"
SP1,Ath Bilbao,,,
SP1,Santander,43.4618932,-3.8100255,"Santander, Cantabria, España"
SP1,Valladolid,41.6200024,-4.7259906,"Valladolid, Castilla y León, España"
SP1,Alaves,42.3927003,-0.3732675,"Alavés, Sabiñánigo, Alto Gállego, Huesca, Aragón, España"
SP1,Celta,-38.3644023,-60.2873002,"Celta, Tres Arroyos, Partido de Tres Arroyos, Buenos Aires, Argentina"
SP1,Vallecano,40.3765566,-3.6142162,"Parque de juegos Rayo Vallecano, Ensanche de Vallecas, Villa de Vallecas, Madrid, Comunidad de Madrid, España"
SP1,Sevilla,37.3886303,-5.9953403,"Sevilla, Andalucía, España"
SP1,Tenerife,28.2935785,-16.6214471,"Tenerife, Canarias, España"
SP1,Recreativo,-22.9036424,-43.2403288,"GRES Estação Primeira de Mangueira, 1072, Rua Visconde de Niterói, Mangueira, Rio de Janeiro, Região Sudeste, 20943-001, Brasil"
SP1,Ath Madrid,,,
SP1,Albacete,38.9950921,-1.8559154,"Albacete, Castilla-La Mancha, España"
SP1,Levante,,,
SP1,Gimnastic,,,
SP1,Sp Gijon,,,
SP1,Hercules,,,
SP1,Granada,,,
SP1,Eibar,,,
SP1,Girona,,,
B1,Beveren,,,
B1,Louvieroise,,,
B1,Westerlo,,,
B1,Aalst,,,
B1,St Truiden,,,
B1,Genk,,,
B1,Standard,,,
B1,Lierse,,,
B1,Lommel,,,
B1,Molenbeek,,,
B1,Bergen,,,
B1,Cercle Brugge,,,
B1,Oostende,,,
B1,Roeselare,,,
B1,Waregem,,,
B1,Beerschot VA,,,
B1,St. Gilloise,,,
B1,RAAL La Louviere,,,
B1,Lommel SK,,,
D1,Dortmund,,,
D1,Freiburg,,,
D1,Ein Frankfurt,,,
D1,Cottbus,,,
D1,Munich 1860,,,
D1,Hertha,,,
D1,Stuttgart,,,
D1,Unterhaching,,,
D1,FC Koln,,,
D1,St Pauli,,,
D1,Nurnberg,,,
D1,Hannover,,,
D1,Mainz,,,
D1,Hoffenheim,,,
D1,Greuther Furth,,,
D1,Darmstadt,,,
I1,Napoli,,,
I1,Perugia,,,
I1,Udinese,,,
I1,Inter,,,
I1,Lazio,,,
I1,Bologna,,,
I1,Brescia,,,
I1,Fiorentina,,,
I1,Verona,,,
I1,Chievo,,,
I1,Piacenza,,,
I1,Venezia,,,
I1,Empoli,,,
I1,Palermo,,,
I1,Livorno,,,
I1,Catania,,,
I1,Cesena,,,
I1,Novara,,,
I1,Sassuolo,,,
I1,Crotone,,,
I1,Benevento,,,
I1,Monza,,,
I1,Cremonese,,,
I1,Pisa,,,
T1,Besiktas,,,
T1,Bursaspor,,,
T1,Erzurumspor,,,
T1,Istanbulspor,,,
T1,Samsunspor,,,
T1,Antalyaspor,,,
T1,Galatasaray,,,
T1,Fenerbahce,,,
T1,Rizespor,,,
T1,Malatyaspor,,,
T1,Konyaspor,,,
T1,Erciyesspor,,,
T1,Manisaspor,,,
T1,Buyuksehyr,,,
T1,Oftasspor,,,
T1,Kasimpasa,,,
T1,Hacettepespor,,,
T1,Karabukspor,,,
T1,Osmanlispor,,,
T1,Alanyaspor,,,
T1,Yeni Malatyaspor,,,
T1,Erzurum BB,,,
T1,Gaziantep,,,
T1,Giresunspor,,,
T1,Umraniyespor,,,
T1,Pendikspor,,,
F1,Istres,,,
ARG,Racing Club,,,
ARG,Colon Santa FE,,,
ARG,Quilmes,,,
ARG,Godoy Cruz,,,
ARG,Lanus,,,
ARG,Belgrano,,,
ARG,Argentinos Jrs,,,
ARG,Union de Santa Fe,,,
ARG,Atl. Rafaela,,,
ARG,Gimnasia L.P.,,,
ARG,Olimpo Bahia Blanca,,,
ARG,Defensa y Justicia,,,
ARG,Nueva Chicago,,,
ARG,Temperley,,,
ARG,Patronato,,,
ARG,Talleres Cordoba,,,
ARG,Central Cordoba,,,
ARG,Ind. Rivadavia,,,
AUT,Mattersburg,,,
AUT,SK Rapid,,,
AUT,Admira,,,
AUT,Wolfsberger AC,,,
AUT,Austria Vienna,,,
AUT,Neustadt,,,
AUT,Salzburg,,,
AUT,Ried,,,
AUT,Grodig,,,
AUT,Altach,,,
AUT,St. Polten,,,
AUT,Hartberg,,,
