league_code,team,city
USA,New England Revolution,Boston
USA,New York Red Bulls,New York
USA,Orlando City,Orlando
USA,Philadelphia Union,Philadelphia
USA,Portland Timbers,Portland
USA,Real Salt Lake,Salt Lake City
USA,San Diego FC,San Diego
USA,San Jose Earthquakes,San Jose
USA,Seattle Sounders,Seattle
USA,Sporting Kansas City,Kansas City
USA,St. Louis City,St. Louis
USA,Toronto FC,Toronto
USA,Vancouver Whitecaps,Vancouver
IRL,Drogheda,Drogheda
IRL,Galway,Galway
IRL,St. Patricks,Dublin
JPN,Kashima Antlers,Kashima
JPN,Mito,Mito
JPN,Urawa Reds,Saitama
JPN,Chiba,Chiba
JPN,Kashiwa Reysol,Kashiwa
JPN,FC Tokyo,Tokyo
JPN,Verdy,Tokyo
JPN,Machida,Machida
JPN,Kawasaki Frontale,Kawasaki
JPN,Yokohama F. Marinos,Yokohama
JPN,Shimizu S-Pulse,Shizuoka
JPN,Nagoya Grampus,Nagoya
JPN,Kyoto,Kyoto
JPN,Gamba Osaka,Osaka
JPN,Cerezo Osaka,Osaka
JPN,Vissel Kobe,Kobe
JPN,Okayama,Okayama
JPN,Sanfrecce Hiroshima,Hiroshima
JPN,Avispa Fukuoka,Fukuoka
JPN,V-Varen Nagasaki,Nagasaki
USA,Atlanta Utd,Atlanta
USA,Austin FC,Austin
USA,DC United,Washington
USA,New York City,New York
USA,Los Angeles Galaxy,Los Angeles
D1,Augsburg,Augsburg
D1,Dortmund,Dortmund
D1,Elversberg,Spiesen-Elversberg
D1,Ein Frankfurt,Frankfurt
D1,Freiburg,Freiburg im Breisgau
D1,Hamburg,Hamburg
D1,Hoffenheim,Sinsheim
D1,FC Koln,Cologne
D1,Leverkusen,Leverkusen
D1,Mainz,Mainz
D1,M'gladbach,Monchengladbach
D1,Paderborn,Paderborn
D1,Stuttgart,Stuttgart
I1,Inter,Milan
I1,Milan,Milan
N1,Den Haag,The Hague
N1,AZ Alkmaar,Alkmaar
N1,Nijmegen,Nijmegen
N1,For Sittard,Sittard
N1,PSV Eindhoven,Eindhoven
N1,Zwolle,Zwolle
SC0,Hearts,Edinburgh
SP1,La Coruna,A Coruna
B1,RAAL La Louviere,La Louviere
T1,Besiktas,Besiktas
T1,Goztep,Goztepe
T1,Kasimpasa,Kasimpasa
ARG,Atl. Tucuman,Tucuman
ARG,Dep. Riestra,Buenos Aires
ARG,Gimnasia L.P.,La Plata
ARG,Union de Santa Fe,Santa Fe
DNK,Odense,Odense
FIN,Inter Turku,Turku
MEX,Club America,Mexico City
MEX,Club Leon,Leon
POL,Rakow,Czestochowa
POL,Slask Wroclaw,Wroclaw
POL,Widzew Lodz,Lodz
POL,Wisla,Krakow
POL,Zaglebie,Lubin
ROU,FC Botosani,Botosani
ROU,Csikszereda M. Ciuc,Miercurea Ciuc
ROU,Otelul,Galati
SWE,Hacken,Gothenburg
SWE,Djurgarden,Stockholm
SWE,Goteborg,Gothenburg
SWE,Mjallby,Hallevik
SWE,Orgryte,Gothenburg
B1,St. Gilloise,Brussels
P1,Sp Lisbon,Lisbon
T1,Buyuksehyr,Istanbul
BRA,Atletico-MG,Belo Horizonte
DNK,Aarhus,Aarhus
